SampleID	SampleName	Compost	Material	Day	Replication	Degradation	Mass	Concentration	Extract_Subject
89	NG-PBAT1-2d	NG	PBAT	2	1	-0.26	460.2	6.9	XYJ
90	NG-PBAT2-2d	NG	PBAT	2	2	0.35	458.8	13.7	XYJ
91	NG-PBAT3-2d	NG	PBAT	2	3	0.17	451.4	12	XYJ
92	NG-PET1-2d	NG	PET	2	1	-0.48	449.7	5.44	XYJ
93	NG-PET2-2d	NG	PET	2	2	-0.22	450.9	4.38	XYJ
94	NG-PET3-2d	NG	PET	2	3	-0.09	465.6	3.92	XYJ
95	NG-Cellulose1-2d	NG	Cellulose	2	1	-0.06	466.9	10.9	XYJ
96	NG-Cellulose2-2d	NG	Cellulose	2	2	0.18	449.9	15.4	XYJ
97	NG-Cellulose3-2d	NG	Cellulose	2	3	-0.31	460.6	6.72	XYJ
98	NG-Blank1-2d	NG	Blank	2	1	37.79	459.8	9.04	XYJ
99	NG-Blank2-2d	NG	Blank	2	2	34.81	453.6	5.54	XYJ
100	NG-Blank3-2d	NG	Blank	2	3	45.74	450.9	6.3	XYJ
101	GL-PBAT1-2d	GL	PBAT	2	1	0	447.1	75.2	XYJ
102	GL-PBAT2-2d	GL	PBAT	2	2	1.61	445.8	37.6	XYJ
103	GL-PBAT3-2d	GL	PBAT	2	3	2.75	446.8	15.2	XYJ
104	GL-PET1-2d	GL	PET	2	1	-0.26	446.6	34.2	XYJ
105	GL-PET2-2d	GL	PET	2	2	0.92	455.7	36.8	XYJ
106	GL-PET3-2d	GL	PET	2	3	-0.39	448.1	40.4	XYJ
107	GL-Cellulose1-2d	GL	Cellulose	2	1	2.64	455.3	31.4	XYJ
108	GL-Cellulose2-2d	GL	Cellulose	2	2	1.1	450.1	49.6	XYJ
109	GL-Cellulose3-2d	GL	Cellulose	2	3	-0.61	451.3	39.8	XYJ
110	GL-Blank1-2d	GL	Blank	2	1	39.36	455.6	21.2	XYJ
111	GL-Blank2-2d	GL	Blank	2	2	37.69	462.7	30.2	XYJ
112	GL-Blank3-2d	GL	Blank	2	3	35.07	448.4	36.6	XYJ
121	GL-Cellulose1-6d	GL	Cellulose	6	1	13.87	454.6	83.2	XYJ
122	GL-Cellulose2-6d	GL	Cellulose	6	2	12.7	446	98	XYJ
123	GL-Cellulose3-6d	GL	Cellulose	6	3	21.41	463.3	69.4	XYJ
124	GL-Blank1-6d	GL	Blank	6	1	72.28	451.5	58.6	XYJ
125	GL-Blank2-6d	GL	Blank	6	2	92.08	467.7	78.2	XYJ
126	GL-Blank3-6d	GL	Blank	6	3	89.45	451.9	80.8	XYJ
127	GL-PBAT1-8d	GL	PBAT	8	1	8.63	459.2	121	XYJ
128	GL-PBAT2-8d	GL	PBAT	8	2	13.52	461.1	102	XYJ
129	GL-PBAT3-8d	GL	PBAT	8	3	22.81	448.9	93.2	XYJ
130	NG-PBAT1-21d	NG	PBAT	21	1	17.4	451.9	52.6	XYJ
131	NG-PBAT2-21d	NG	PBAT	21	2	14.17	451.8	53.2	XYJ
132	NG-PBAT3-21d	NG	PBAT	21	3	19.67	451.8	38	XYJ
133	NG-PET1-21d	NG	PET	21	1	-0.07	452.6	4.9	XYJ
134	NG-PET2-21d	NG	PET	21	2	0.13	453.3	6.32	XYJ
135	NG-PET3-21d	NG	PET	21	3	0.39	458.9	9.44	XYJ
136	NG-Cellulose1-21d	NG	Cellulose	21	1	14.72	458	27.2	XYJ
137	NG-Cellulose2-21d	NG	Cellulose	21	2	19.33	456.9	17.1	617
138	NG-Cellulose3-21d	NG	Cellulose	21	3	17.85	463.6	26	617
139	NG-Blank1-21d	NG	Blank	21	1	266.51	451.5	10.8	XYJ
140	NG-Blank2-21d	NG	Blank	21	2	267.5	463.9	8.54	617
141	NG-Blank3-21d	NG	Blank	21	3	275.46	459.1	5.82	XYJ
142	GL-PBAT1-21d	GL	PBAT	21	1	41.08	463.9	262	XYJ
143	GL-PBAT2-21d	GL	PBAT	21	2	53.29	459.8	266	XYJ
144	GL-PBAT3-21d	GL	PBAT	21	3	59.79	455.4	242	617
145	GL-PET1-21d	GL	PET	21	1	0.92	460.4	113	617
146	GL-PET2-21d	GL	PET	21	2	1.4	448.8	95.4	XYJ
147	GL-PET3-21d	GL	PET	21	3	-1.18	458.6	77	XYJ
148	GL-Cellulose1-21d	GL	Cellulose	21	1	42.58	456.7	184	XYJ
149	GL-Cellulose2-21d	GL	Cellulose	21	2	37.91	454.8	248	XYJ
150	GL-Cellulose3-21d	GL	Cellulose	21	3	41.04	446.2	171	617
151	GL-Blank1-21d	GL	Blank	21	1	197.99	447.1	115	XYJ
152	GL-Blank2-21d	GL	Blank	21	2	184.15	453	83.6	617
153	GL-Blank3-21d	GL	Blank	21	3	175.33	451.6	103	617
154	NG-PBAT1-28d	NG	PBAT	28	1	22.29	451	33	XYJ
155	NG-PBAT2-28d	NG	PBAT	28	2	17.79	453.1	31.8	617
156	NG-PBAT3-28d	NG	PBAT	28	3	25.86	450.7	31.2	XYJ
163	NG-Blank1-28d	NG	Blank	28	1	379.87	463.6	0.5	XYJ
164	NG-Blank2-28d	NG	Blank	28	2	383.85	455.1	2.54	XYJ
165	NG-Blank3-28d	NG	Blank	28	3	396.78	463.6	4	XYJ
166	GL-PBAT1-28d	GL	PBAT	28	1	56.69	448.8	206	XYJ
167	GL-PBAT2-28d	GL	PBAT	28	2	50.76	463.2	286	617
168	GL-PBAT3-28d	GL	PBAT	28	3	71.78	447.7	280	617
169	GL-PET1-28d	GL	PET	28	1	3.75	453.9	129	XYJ
170	GL-PET2-28d	GL	PET	28	2	4.58	454.9	95.4	XYJ
171	GL-PET3-28d	GL	PET	28	3	-1.48	442.1	168	617
172	GL-Cellulose1-28d	GL	Cellulose	28	1	57.36	444.3	284	617
173	GL-Cellulose2-28d	GL	Cellulose	28	2	53.07	462.7	126	617
174	GL-Cellulose3-28d	GL	Cellulose	28	3	54.91	458.4	240	XYJ
175	GL-Blank1-28d	GL	Blank	28	1	302.47	448	173	XYJ
176	GL-Blank2-28d	GL	Blank	28	2	264.3	454.5	137	XYJ
177	GL-Blank3-28d	GL	Blank	28	3	249.99	454.2	148	617
178	NG-PBAT1-35d	NG	PBAT	35	1	30.35	455.7	47	617
179	NG-PBAT2-35d	NG	PBAT	35	2	25.56	451.3	44.6	617
180	NG-PBAT3-35d	NG	PBAT	35	3	36.85	450.1	70.2	XYJ
181	NG-PET1-35d	NG	PET	35	1	-0.07	443.3	4.1	617
182	NG-PET2-35d	NG	PET	35	2	-0.65	450.8	4.22	617
183	NG-PET3-35d	NG	PET	35	3	0.7	450.4	2.7	XYJ
184	NG-Cellulose1-35d	NG	Cellulose	35	1	17.98	450.9	27.4	XYJ
185	NG-Cellulose2-35d	NG	Cellulose	35	2	26.81	454	9.84	XYJ
186	NG-Cellulose3-35d	NG	Cellulose	35	3	29.14	446.9	9.76	617
187	NG-Blank1-35d	NG	Blank	35	1	467.38	452.7	4.48	617
188	NG-Blank2-35d	NG	Blank	35	2	477.33	457	5.1	617
189	NG-Blank3-35d	NG	Blank	35	3	496.22	462.3	5.76	XYJ
190	GL-PBAT1-35d	GL	PBAT	35	1	65.59	449.8	180	617
191	GL-PBAT2-35d	GL	PBAT	35	2	54.95	468.3	218	617
192	GL-PBAT3-35d	GL	PBAT	35	3	78.59	468.4	240	XYJ
193	GL-PET1-35d	GL	PET	35	1	7.99	463.1	126	617
194	GL-PET2-35d	GL	PET	35	2	7.64	452.7	185	617
195	GL-PET3-35d	GL	PET	35	3	0.39	450.8	174	XYJ
196	GL-Cellulose1-35d	GL	Cellulose	35	1	62.45	463.4	216	XYJ
197	GL-Cellulose2-35d	GL	Cellulose	35	2	59.14	454.7	234	617
198	GL-Cellulose3-35d	GL	Cellulose	35	3	56.63	451.6	426	617
199	GL-Blank1-35d	GL	Blank	35	1	407.18	451.1	188	617
200	GL-Blank2-35d	GL	Blank	35	2	366.63	465.1	145	XYJ
201	GL-Blank3-35d	GL	Blank	35	3	351.13	451.3	142	XYJ
202	NG-PBAT1-42d	NG	PBAT	42	1	38.73	459.4	74	617
203	NG-PBAT2-42d	NG	PBAT	42	2	33.58	456.5	35.4	XYJ
204	NG-PBAT3-42d	NG	PBAT	42	3	47.36	450.3	40.6	XYJ
211	NG-Blank1-42d	NG	Blank	42	1	565.83	450	6.86	XYJ
212	NG-Blank2-42d	NG	Blank	42	2	583.73	454.6	5.56	XYJ
213	NG-Blank3-42d	NG	Blank	42	3	606.6	460.2	7.68	XYJ
